ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-043,3/11/2024 10:12,Technical,High,Resolved,3.4,2.9,AGT-07,4.0,SSL certificate issue
TKT-044,2/8/2024 12:13,General,High,Open,4.0,,AGT-07,,Request for account deletion
TKT-045,3/27/2024 11:32,Technical,Medium,Escalated,4.0,,AGT-08,,Dashboard not loading
TKT-046,3/6/2024 18:40,General,Low,Open,1.8,,AGT-10,,Question about usage limits
TKT-047,1/26/2024 10:01,General,Medium,Resolved,1.4,3.6,AGT-01,4.0,Question about usage limits
TKT-048,3/4/2024 14:15,General,High,Resolved,3.3,9.5,AGT-03,2.0,How to add team members
TKT-049,3/30/2024 16:29,Billing,Low,Open,2.9,,AGT-01,,Refund not processed
TKT-050,2/29/2024 18:33,Technical,Low,Escalated,3.1,,AGT-09,,Webhook not triggering
TKT-051,3/5/2024 14:53,General,High,Resolved,2.3,6.0,AGT-09,5.0,Need help with onboarding
TKT-052,1/31/2024 12:28,General,Medium,Resolved,3.6,21.6,AGT-02,2.0,Feature request: dark mode
TKT-053,1/20/2024 11:04,Billing,Medium,Resolved,2.2,6.6,AGT-07,4.0,Incorrect charge on invoice
TKT-054,1/1/2024 13:19,General,Medium,Escalated,4.3,,AGT-07,,How to add team members
TKT-055,3/10/2024 17:57,General,High,Resolved,2.5,5.3,AGT-04,4.0,How to add team members
TKT-056,2/29/2024 10:39,General,Low,Resolved,0.3,5.2,AGT-09,4.0,Feature request: dark mode
TKT-057,2/3/2024 14:20,Technical,Low,Resolved,2.4,16.2,AGT-04,5.0,SSL certificate issue
TKT-058,3/1/2024 8:47,Technical,High,Escalated,0.5,,AGT-09,,Integration broken after version upgrade
TKT-059,3/24/2024 8:48,General,Low,Resolved,4.8,59.0,AGT-01,2.0,How to export data to CSV
TKT-060,2/29/2024 12:49,General,Critical,Escalated,1.0,,AGT-06,,How to export data to CSV
TKT-061,1/14/2024 17:01,Billing,Critical,Open,3.0,,AGT-05,,Wrong plan charged
TKT-062,1/26/2024 9:37,Technical,Critical,Resolved,4.2,2.2,AGT-12,4.0,API timeout errors in production
TKT-063,2/14/2024 16:27,General,High,Resolved,2.0,10.3,AGT-11,5.0,How to export data to CSV
TKT-064,3/22/2024 15:45,Technical,Critical,Escalated,2.3,,AGT-03,,Data sync not working
TKT-065,3/9/2024 15:29,General,High,Resolved,4.2,3.7,AGT-07,5.0,Need help with onboarding
TKT-066,2/29/2024 17:39,Technical,Low,Resolved,2.0,12.0,AGT-11,3.0,Data sync not working
TKT-067,3/17/2024 12:35,Technical,Low,Resolved,2.7,21.9,AGT-01,4.0,Integration broken after version upgrade
TKT-068,3/3/2024 15:50,General,Medium,Resolved,0.6,8.7,AGT-01,4.0,Change notification preferences
TKT-069,2/24/2024 16:21,General,Medium,Resolved,3.6,4.7,AGT-06,3.0,How to export data to CSV
TKT-070,3/29/2024 10:12,General,Medium,Resolved,3.7,18.7,AGT-04,4.0,How to export data to CSV
TKT-071,2/16/2024 10:19,Billing,Low,Resolved,3.6,51.9,AGT-01,3.0,Double billing issue
TKT-072,3/3/2024 9:55,General,High,Resolved,3.0,3.0,AGT-01,2.0,Change notification preferences
TKT-073,2/21/2024 15:04,Billing,High,Resolved,3.2,7.2,AGT-10,3.0,Subscription not activated after payment
TKT-074,2/23/2024 17:38,Billing,Medium,Resolved,1.3,11.7,AGT-10,5.0,Wrong plan charged
TKT-075,1/8/2024 17:47,Technical,Medium,Resolved,4.7,16.5,AGT-02,3.0,Dashboard not loading
TKT-076,1/1/2024 14:28,General,Low,Resolved,3.1,35.1,AGT-12,5.0,Change notification preferences
TKT-077,2/3/2024 18:37,Billing,High,Resolved,4.1,3.5,AGT-11,2.0,Unexpected fee on account
TKT-078,1/22/2024 12:38,Billing,Low,Open,4.2,,AGT-12,,Payment failed but amount deducted
TKT-079,2/8/2024 14:17,Billing,Medium,Resolved,2.8,21.6,AGT-09,5.0,Unexpected fee on account
TKT-080,3/27/2024 17:37,Billing,Low,Resolved,5.0,5.8,AGT-01,5.0,Payment failed but amount deducted
TKT-081,2/5/2024 10:37,General,High,Resolved,3.2,4.8,AGT-07,3.0,How to export data to CSV
TKT-082,3/29/2024 15:18,Billing,Medium,Open,4.7,,AGT-11,,Incorrect charge on invoice
TKT-083,2/2/2024 13:07,Technical,Low,Open,4.4,,AGT-07,,System login failure after update
TKT-084,2/29/2024 14:03,General,High,Open,2.7,,AGT-04,,Change notification preferences
TKT-085,1/7/2024 11:17,General,Medium,Resolved,0.8,12.7,AGT-09,1.0,Question about usage limits
TKT-086,3/11/2024 8:35,General,Low,Escalated,0.6,,AGT-07,,How to export data to CSV
TKT-087,3/23/2024 10:31,Technical,Critical,Escalated,1.6,,AGT-12,,SSL certificate issue
TKT-088,2/1/2024 15:35,Technical,Critical,Open,2.0,,AGT-03,,Database connection timeout
TKT-089,1/9/2024 12:49,General,High,Open,1.8,,AGT-07,,Need help with onboarding
TKT-090,2/8/2024 17:37,Billing,Low,Resolved,2.6,19.2,AGT-11,4.0,Wrong plan charged
TKT-091,1/25/2024 11:36,Technical,Critical,Escalated,1.3,,AGT-07,,System login failure after update
TKT-092,2/18/2024 14:42,Technical,High,Resolved,4.9,84.2,AGT-11,4.0,API timeout errors in production
TKT-093,2/28/2024 8:46,Technical,Low,Resolved,2.2,24.7,AGT-03,5.0,Error 500 on checkout page
TKT-094,3/24/2024 9:54,General,High,Escalated,4.3,,AGT-06,,How to add team members
TKT-095,3/3/2024 16:02,Technical,Medium,Resolved,0.5,23.9,AGT-10,5.0,SSL certificate issue
TKT-096,1/13/2024 15:10,Billing,High,Resolved,1.6,1.6,AGT-12,4.0,Wrong plan charged
TKT-097,2/22/2024 17:43,Billing,Low,Resolved,1.0,31.3,AGT-03,3.0,Double billing issue
TKT-098,2/2/2024 15:16,Billing,Medium,Open,0.2,,AGT-11,,Unexpected fee on account
TKT-099,1/10/2024 15:22,General,Medium,Escalated,1.6,,AGT-10,,Need help with onboarding
TKT-100,1/26/2024 14:54,Technical,High,Resolved,0.7,4.3,AGT-08,4.0,System login failure after update
TKT-101,1/2/2024 17:55,General,Medium,Escalated,3.9,,AGT-11,,Change notification preferences
TKT-102,1/30/2024 17:51,Technical,High,Resolved,1.3,9.3,AGT-06,5.0,Dashboard not loading
TKT-103,3/21/2024 18:02,General,Low,Resolved,4.0,9.8,AGT-05,5.0,Request for account deletion
TKT-104,1/26/2024 10:50,General,Medium,Resolved,4.4,8.0,AGT-09,3.0,Change notification preferences
TKT-105,2/13/2024 9:29,Technical,High,Escalated,0.9,,AGT-02,,SSL certificate issue
TKT-106,2/20/2024 8:16,General,Medium,Resolved,0.8,7.8,AGT-09,4.0,Request for account deletion
TKT-107,3/1/2024 8:39,Billing,High,Open,1.8,,AGT-09,,Refund not processed
TKT-108,3/30/2024 12:41,General,High,Resolved,0.8,119.7,AGT-07,2.0,Question about usage limits
TKT-109,2/28/2024 13:42,General,Low,Resolved,3.5,36.0,AGT-12,5.0,How to export data to CSV
TKT-110,2/5/2024 8:44,Technical,Medium,Resolved,1.2,10.0,AGT-06,5.0,Error 500 on checkout page
TKT-111,3/23/2024 13:03,General,Critical,Open,1.5,,AGT-07,,Change notification preferences
TKT-112,3/23/2024 18:38,Billing,High,Resolved,0.4,9.7,AGT-01,3.0,Subscription not activated after payment
TKT-113,1/30/2024 13:49,General,Low,Resolved,4.0,47.3,AGT-03,5.0,Need help with onboarding
TKT-114,1/4/2024 10:00,Billing,Low,Resolved,4.0,11.7,AGT-06,2.0,Wrong plan charged
TKT-115,1/9/2024 15:28,General,Low,Resolved,2.7,45.6,AGT-06,1.0,Need help with onboarding
TKT-116,1/4/2024 8:30,Technical,Medium,Resolved,2.2,11.8,AGT-07,5.0,Error 500 on checkout page
TKT-117,1/17/2024 12:39,General,Low,Open,3.0,,AGT-11,,How to add team members
TKT-118,2/28/2024 16:38,General,Medium,Open,0.7,,AGT-07,,Question about usage limits
TKT-119,1/30/2024 14:21,Technical,Medium,Open,2.1,,AGT-08,,Error 500 on checkout page
TKT-120,2/2/2024 13:09,Technical,Medium,Resolved,4.6,4.1,AGT-11,2.0,Error 500 on checkout page
TKT-121,3/16/2024 16:35,Billing,Medium,Resolved,3.4,22.7,AGT-06,4.0,Incorrect charge on invoice
TKT-122,2/15/2024 9:36,Technical,Medium,Resolved,1.2,4.4,AGT-09,5.0,Error 500 on checkout page
TKT-123,3/14/2024 11:51,Billing,High,Escalated,4.3,,AGT-07,,Incorrect charge on invoice
TKT-124,3/29/2024 12:01,General,Critical,Escalated,1.5,,AGT-03,,Request for account deletion
TKT-125,1/19/2024 17:42,Technical,Low,Open,0.5,,AGT-07,,System login failure after update
TKT-126,1/28/2024 14:26,Billing,High,Resolved,1.8,9.5,AGT-08,4.0,Refund not processed
TKT-127,3/20/2024 8:43,Billing,Low,Resolved,1.5,23.4,AGT-02,3.0,Refund not processed
TKT-128,2/6/2024 18:43,Technical,Medium,Resolved,2.5,76.5,AGT-10,4.0,System login failure after update
TKT-129,1/28/2024 10:48,Billing,Medium,Resolved,1.6,11.5,AGT-05,2.0,Subscription not activated after payment
TKT-130,3/26/2024 13:04,General,Medium,Resolved,4.3,114.3,AGT-07,5.0,How to add team members
TKT-131,3/22/2024 14:18,General,Medium,Escalated,2.1,,AGT-02,,Feature request: dark mode
TKT-132,3/29/2024 13:05,General,Medium,Resolved,4.3,13.5,AGT-07,4.0,Need help with onboarding
TKT-133,2/12/2024 10:04,General,Medium,Resolved,3.2,19.1,AGT-09,4.0,Feature request: dark mode
TKT-134,2/2/2024 11:11,Billing,Low,Open,0.9,,AGT-10,,Refund not processed
TKT-135,3/21/2024 15:29,Billing,Critical,Resolved,3.8,3.6,AGT-10,4.0,Invoice not received
TKT-136,2/26/2024 9:30,General,Medium,Open,3.2,,AGT-08,,Request for product documentation
TKT-137,2/9/2024 15:28,Technical,Medium,Open,0.5,,AGT-01,,API timeout errors in production
TKT-138,1/12/2024 17:38,General,High,Resolved,2.0,9.1,AGT-09,1.0,Question about usage limits
TKT-139,3/5/2024 10:03,Technical,Medium,Open,0.7,,AGT-08,,Error 500 on checkout page
TKT-140,3/23/2024 10:02,General,Low,Escalated,3.6,,AGT-04,,Feature request: dark mode
TKT-141,2/6/2024 14:26,Technical,Medium,Resolved,3.5,9.4,AGT-06,3.0,Database connection timeout
TKT-142,2/2/2024 18:58,General,Medium,Resolved,4.4,5.1,AGT-10,3.0,How to add team members
TKT-143,1/11/2024 12:35,Billing,Medium,Resolved,3.3,17.5,AGT-07,5.0,Refund not processed
TKT-144,3/6/2024 13:01,General,High,Escalated,1.7,,AGT-06,,Request for account deletion
TKT-145,1/18/2024 10:04,Technical,Low,Resolved,4.3,40.7,AGT-05,5.0,System login failure after update
TKT-146,3/20/2024 10:38,General,Medium,Resolved,0.9,15.7,AGT-07,5.0,Change notification preferences
TKT-147,3/27/2024 11:28,Billing,Medium,Open,1.6,,AGT-10,,Payment failed but amount deducted
TKT-148,2/9/2024 15:57,Billing,Medium,Open,2.0,,AGT-04,,Payment failed but amount deducted
TKT-149,2/18/2024 16:33,Technical,High,Open,4.8,,AGT-07,,Mobile app crash on startup
TKT-150,1/7/2024 18:30,Billing,High,Resolved,2.9,10.4,AGT-06,3.0,Double billing issue
TKT-151,3/6/2024 10:53,Technical,Medium,Open,0.6,,AGT-07,,Webhook not triggering
TKT-152,2/23/2024 8:25,Technical,Critical,Resolved,2.0,1.7,AGT-09,3.0,API timeout errors in production
TKT-153,1/19/2024 10:02,General,Medium,Resolved,4.6,18.7,AGT-05,4.0,Request for product documentation
TKT-154,1/28/2024 10:35,Billing,Low,Resolved,3.1,14.5,AGT-12,2.0,Subscription not activated after payment
TKT-155,3/20/2024 15:04,Technical,Medium,Resolved,4.2,15.9,AGT-02,4.0,Dashboard not loading
TKT-156,3/19/2024 13:15,Technical,Medium,Resolved,2.2,23.4,AGT-10,2.0,Database connection timeout
TKT-157,3/5/2024 16:01,General,Medium,Resolved,4.4,10.2,AGT-07,5.0,Request for account deletion
TKT-158,3/25/2024 18:06,Billing,Medium,Resolved,3.7,87.3,AGT-10,5.0,Double billing issue
TKT-159,3/30/2024 15:40,General,Medium,Resolved,4.1,12.1,AGT-03,3.0,Request for product documentation
TKT-160,2/10/2024 12:32,Billing,High,Resolved,4.9,9.3,AGT-07,3.0,Invoice not received
TKT-161,2/12/2024 12:07,Billing,High,Resolved,2.3,11.5,AGT-06,3.0,Double billing issue
TKT-162,2/17/2024 16:17,Technical,High,Resolved,3.7,10.0,AGT-02,4.0,Error 500 on checkout page
TKT-163,3/25/2024 12:19,Billing,Low,Resolved,3.1,19.5,AGT-08,1.0,Invoice not received
TKT-164,2/5/2024 18:50,General,Critical,Escalated,0.6,,AGT-01,,Request for account deletion
TKT-165,3/27/2024 10:01,General,High,Open,4.3,,AGT-03,,Change notification preferences
TKT-166,1/31/2024 18:23,Billing,Low,Resolved,2.0,33.9,AGT-06,5.0,Invoice not received
TKT-167,3/14/2024 10:33,Technical,High,Open,2.1,,AGT-06,,Integration broken after version upgrade
TKT-168,1/24/2024 15:33,Billing,Low,Resolved,4.6,35.0,AGT-07,3.0,Unexpected fee on account
TKT-169,3/3/2024 11:07,General,Critical,Resolved,4.3,2.9,AGT-03,2.0,Request for account deletion
TKT-170,1/9/2024 16:34,General,Medium,Open,4.5,,AGT-05,,Feature request: dark mode
TKT-171,1/16/2024 11:50,Technical,Medium,Resolved,1.3,14.6,AGT-03,4.0,Database connection timeout
TKT-172,1/12/2024 9:19,Billing,Medium,Open,5.0,,AGT-07,,Wrong plan charged
TKT-173,1/10/2024 10:20,Technical,High,Resolved,0.6,2.4,AGT-11,5.0,Database connection timeout
TKT-174,1/17/2024 14:32,General,Medium,Resolved,4.2,5.6,AGT-01,5.0,Question about usage limits
TKT-175,3/7/2024 12:54,Technical,Critical,Escalated,1.4,,AGT-02,,Database connection timeout
TKT-176,2/8/2024 17:34,Technical,Low,Resolved,2.6,10.8,AGT-02,4.0,Mobile app crash on startup
TKT-177,3/13/2024 8:52,Technical,High,Escalated,0.6,,AGT-01,,Mobile app crash on startup
TKT-178,3/14/2024 14:39,Technical,High,Escalated,0.3,,AGT-11,,Database connection timeout
TKT-179,2/8/2024 15:15,Technical,Medium,Resolved,2.1,5.5,AGT-11,4.0,Webhook not triggering
TKT-180,1/19/2024 13:55,Billing,Medium,Escalated,1.7,,AGT-12,,Invoice not received
TKT-181,2/17/2024 16:35,Technical,Low,Resolved,1.7,14.9,AGT-02,2.0,Data sync not working
TKT-182,2/23/2024 11:55,Technical,High,Escalated,4.1,,AGT-03,,Error 500 on checkout page
TKT-183,3/4/2024 16:29,Billing,High,Resolved,4.4,5.3,AGT-08,4.0,Subscription not activated after payment
TKT-184,1/7/2024 8:18,Billing,Medium,Open,3.1,,AGT-08,,Payment failed but amount deducted
TKT-185,1/14/2024 14:08,Technical,Medium,Open,3.7,,AGT-05,,Error 500 on checkout page
TKT-186,3/13/2024 16:12,Billing,Medium,Resolved,2.9,18.8,AGT-06,3.0,Refund not processed
TKT-187,2/20/2024 13:50,Billing,Critical,Resolved,2.9,3.8,AGT-06,4.0,Incorrect charge on invoice
TKT-188,2/12/2024 15:33,Billing,Low,Open,0.9,,AGT-08,,Double billing issue
TKT-189,2/10/2024 10:25,Technical,Critical,Resolved,3.7,5.1,AGT-10,4.0,Mobile app crash on startup
TKT-190,1/3/2024 13:21,Technical,Medium,Resolved,0.7,21.8,AGT-11,5.0,System login failure after update
TKT-191,3/24/2024 17:36,General,Medium,Resolved,3.7,15.8,AGT-04,4.0,How to add team members
TKT-192,2/1/2024 8:36,Billing,High,Resolved,0.7,2.7,AGT-12,4.0,Wrong plan charged
TKT-193,3/1/2024 8:45,General,High,Resolved,2.7,6.3,AGT-03,4.0,Feature request: dark mode
TKT-194,2/13/2024 16:22,Technical,Critical,Escalated,3.9,,AGT-11,,Data sync not working
TKT-195,2/1/2024 12:35,General,Medium,Escalated,1.3,,AGT-05,,Need help with onboarding
TKT-196,3/29/2024 15:20,Technical,High,Escalated,1.9,,AGT-08,,Data sync not working
TKT-197,3/27/2024 16:24,Technical,Low,Escalated,4.1,,AGT-07,,Dashboard not loading
TKT-198,1/11/2024 13:59,Technical,Low,Open,3.3,,AGT-08,,Integration broken after version upgrade
TKT-199,2/4/2024 16:44,Billing,High,Open,0.9,,AGT-05,,Subscription not activated after payment
TKT-200,3/8/2024 11:40,Billing,Low,Resolved,0.5,8.4,AGT-04,5.0,Incorrect charge on invoice
TKT-201,1/21/2024 14:41,General,Critical,Resolved,2.5,2.3,AGT-08,4.0,How to export data to CSV
TKT-202,3/9/2024 8:58,General,Medium,Open,2.2,,AGT-03,,Request for product documentation
TKT-203,1/24/2024 12:56,Technical,High,Resolved,0.2,11.8,AGT-01,3.0,Database connection timeout
TKT-204,1/18/2024 16:29,General,Medium,Resolved,1.1,12.1,AGT-05,3.0,Feature request: dark mode
TKT-205,2/7/2024 17:43,Billing,High,Escalated,1.0,,AGT-04,,Wrong plan charged
TKT-206,1/12/2024 14:42,Technical,Medium,Resolved,1.1,7.5,AGT-02,3.0,Integration broken after version upgrade
TKT-207,2/12/2024 12:37,Technical,High,Resolved,2.9,3.6,AGT-12,4.0,Webhook not triggering
TKT-208,3/28/2024 16:59,Technical,Low,Resolved,3.9,45.4,AGT-12,4.0,Integration broken after version upgrade
TKT-209,3/2/2024 10:29,Billing,Critical,Resolved,4.9,5.5,AGT-12,5.0,Subscription not activated after payment
TKT-210,3/17/2024 9:33,Billing,High,Resolved,2.7,2.2,AGT-08,5.0,Subscription not activated after payment
TKT-211,1/22/2024 13:54,General,Medium,Resolved,2.3,12.8,AGT-09,5.0,Change notification preferences
TKT-212,3/6/2024 14:29,Billing,Medium,Resolved,0.5,17.9,AGT-10,4.0,Incorrect charge on invoice
TKT-213,1/10/2024 8:27,General,Low,Resolved,3.6,43.3,AGT-06,5.0,Change notification preferences
TKT-214,1/24/2024 10:49,Billing,Low,Resolved,4.9,47.7,AGT-11,4.0,Wrong plan charged
TKT-215,3/25/2024 16:08,Technical,Low,Resolved,4.3,21.3,AGT-11,2.0,Integration broken after version upgrade
TKT-216,2/8/2024 15:43,Billing,High,Resolved,2.8,3.7,AGT-12,3.0,Unexpected fee on account
TKT-217,1/15/2024 8:51,Billing,Critical,Escalated,2.2,,AGT-11,,Incorrect charge on invoice
TKT-218,1/13/2024 17:02,Billing,Low,Open,3.1,,AGT-08,,Incorrect charge on invoice
TKT-219,2/21/2024 15:14,Billing,High,Escalated,1.2,,AGT-09,,Incorrect charge on invoice
TKT-220,2/7/2024 11:52,Billing,Medium,Resolved,3.0,20.0,AGT-12,3.0,Double billing issue
TKT-221,2/22/2024 12:17,General,Medium,Resolved,2.9,5.9,AGT-01,4.0,Change notification preferences
TKT-222,3/23/2024 18:24,Billing,Critical,Resolved,1.7,2.6,AGT-09,5.0,Payment failed but amount deducted
TKT-223,2/8/2024 10:51,Billing,High,Resolved,4.6,7.1,AGT-08,2.0,Subscription not activated after payment
TKT-224,3/23/2024 9:59,Technical,Low,Resolved,4.3,12.4,AGT-08,3.0,Mobile app crash on startup
TKT-225,1/10/2024 11:51,General,Low,Resolved,3.7,42.3,AGT-10,3.0,Request for product documentation
TKT-226,1/16/2024 15:58,Billing,Critical,Escalated,3.5,,AGT-04,,Wrong plan charged
TKT-227,2/6/2024 14:29,Billing,Medium,Resolved,3.3,21.4,AGT-09,4.0,Payment failed but amount deducted
TKT-228,2/17/2024 13:26,Technical,Critical,Resolved,2.9,1.9,AGT-01,5.0,Mobile app crash on startup
TKT-229,1/20/2024 11:21,General,Medium,Open,2.0,,AGT-04,,Change notification preferences
TKT-230,3/28/2024 13:16,General,High,Open,4.8,,AGT-08,,Change notification preferences
TKT-231,2/15/2024 10:08,Technical,Low,Resolved,2.8,47.6,AGT-12,5.0,Database connection timeout
TKT-232,1/10/2024 18:03,Billing,High,Open,2.2,,AGT-01,,Subscription not activated after payment
TKT-233,1/2/2024 11:32,Billing,High,Open,2.0,,AGT-08,,Payment failed but amount deducted
TKT-234,1/1/2024 16:35,General,Medium,Resolved,0.3,23.5,AGT-07,1.0,How to add team members
TKT-235,1/13/2024 16:09,Billing,Low,Resolved,1.1,15.8,AGT-04,4.0,Invoice not received
TKT-236,2/1/2024 11:19,Technical,Medium,Resolved,4.2,16.3,AGT-11,1.0,SSL certificate issue
TKT-237,3/1/2024 8:40,Technical,Medium,Resolved,3.6,16.2,AGT-01,3.0,API timeout errors in production
TKT-238,1/30/2024 11:57,General,Critical,Resolved,4.5,53.4,AGT-12,5.0,Request for product documentation
TKT-239,2/10/2024 8:13,Billing,Critical,Escalated,0.9,,AGT-10,,Wrong plan charged
TKT-240,3/13/2024 11:36,Billing,Low,Resolved,3.4,36.5,AGT-07,5.0,Refund not processed
TKT-241,2/14/2024 8:06,General,High,Resolved,1.3,7.8,AGT-07,4.0,Request for account deletion
TKT-242,2/27/2024 15:14,Billing,Medium,Resolved,2.9,14.9,AGT-06,4.0,Unexpected fee on account
TKT-243,1/11/2024 12:09,Billing,High,Open,3.6,,AGT-07,,Wrong plan charged
TKT-244,1/12/2024 8:19,Technical,Medium,Resolved,1.9,6.1,AGT-08,4.0,Database connection timeout
TKT-245,1/4/2024 9:22,General,Medium,Resolved,0.6,10.5,AGT-09,3.0,How to add team members
TKT-246,3/12/2024 11:36,Billing,High,Resolved,1.0,4.3,AGT-09,4.0,Refund not processed
TKT-247,2/23/2024 12:30,Billing,Medium,Open,1.9,,AGT-02,,Payment failed but amount deducted
TKT-248,2/28/2024 9:08,General,Medium,Resolved,0.2,10.4,AGT-05,5.0,Change notification preferences
TKT-249,3/24/2024 17:08,Technical,Medium,Open,1.7,,AGT-05,,Integration broken after version upgrade
TKT-250,2/20/2024 13:18,Technical,Medium,Resolved,3.5,7.3,AGT-12,4.0,SSL certificate issue
TKT-251,3/13/2024 11:37,Technical,Low,Open,1.1,,AGT-09,,System login failure after update
TKT-252,1/27/2024 15:51,General,Medium,Resolved,4.2,19.5,AGT-05,4.0,Feature request: dark mode
TKT-253,2/2/2024 18:09,General,Medium,Resolved,2.2,15.2,AGT-12,4.0,How to add team members
TKT-254,2/16/2024 16:38,General,Low,Resolved,4.6,33.2,AGT-11,3.0,Request for product documentation
TKT-255,3/27/2024 18:25,General,Critical,Resolved,4.8,66.6,AGT-06,4.0,Question about usage limits
TKT-256,2/29/2024 18:37,Technical,Medium,Resolved,2.6,55.5,AGT-12,4.0,API timeout errors in production
TKT-257,1/19/2024 13:19,Billing,High,Resolved,2.4,6.2,AGT-06,4.0,Payment failed but amount deducted
TKT-258,1/6/2024 9:01,Technical,Low,Resolved,3.3,47.3,AGT-06,3.0,Dashboard not loading
TKT-259,3/12/2024 14:29,General,Low,Resolved,4.0,32.9,AGT-04,4.0,Question about usage limits
TKT-260,2/19/2024 8:45,Technical,Medium,Open,1.2,,AGT-04,,API timeout errors in production
TKT-261,3/9/2024 10:23,General,Low,Resolved,1.1,25.5,AGT-06,5.0,Request for account deletion
TKT-262,2/20/2024 17:07,General,Medium,Resolved,1.9,16.8,AGT-06,5.0,How to export data to CSV
